epoch;training_loss;validation_loss;difference;accuracy
1;2.35301;2.35979;0.00678;0.35970
2;1.98555;1.99677;0.01122;0.37080
3;1.93459;1.94684;0.01225;0.37070
4;1.92723;1.93972;0.01249;0.37150
5;1.92593;1.93847;0.01253;0.37160
6;1.92549;1.93801;0.01252;0.37200
7;1.92519;1.93768;0.01249;0.37200
8;1.92491;1.93738;0.01246;0.37240
9;1.92466;1.93709;0.01243;0.37260
10;1.92442;1.93682;0.01240;0.37350
11;1.92420;1.93656;0.01237;0.37390
12;1.92399;1.93632;0.01234;0.37360
13;1.92379;1.93609;0.01231;0.37320
14;1.92360;1.93588;0.01228;0.37320
15;1.92342;1.93568;0.01225;0.37310
16;1.92326;1.93548;0.01222;0.37330
17;1.92310;1.93530;0.01220;0.37310
18;1.92296;1.93513;0.01217;0.37320
19;1.92282;1.93497;0.01215;0.37340
20;1.92269;1.93482;0.01212;0.37360
21;1.92257;1.93467;0.01210;0.37380
22;1.92245;1.93453;0.01208;0.37390
23;1.92235;1.93440;0.01206;0.37390
24;1.92225;1.93428;0.01203;0.37360
25;1.92215;1.93416;0.01201;0.37330
26;1.92206;1.93405;0.01199;0.37370
27;1.92197;1.93395;0.01197;0.37380
28;1.92189;1.93385;0.01195;0.37370
29;1.92182;1.93375;0.01193;0.37400
30;1.92175;1.93366;0.01192;0.37460
31;1.92168;1.93358;0.01190;0.37450
32;1.92162;1.93350;0.01188;0.37450
33;1.92156;1.93342;0.01186;0.37480
34;1.92150;1.93335;0.01185;0.37510
35;1.92145;1.93328;0.01183;0.37480
36;1.92140;1.93321;0.01181;0.37470
37;1.92136;1.93315;0.01180;0.37470
38;1.92131;1.93309;0.01178;0.37460
39;1.92127;1.93304;0.01177;0.37480
40;1.92123;1.93298;0.01175;0.37460
41;1.92119;1.93293;0.01174;0.37470
42;1.92116;1.93288;0.01172;0.37510
43;1.92113;1.93283;0.01171;0.37510
44;1.92109;1.93279;0.01170;0.37530
45;1.92107;1.93275;0.01168;0.37540
46;1.92104;1.93271;0.01167;0.37530
47;1.92101;1.93267;0.01166;0.37530
48;1.92099;1.93263;0.01164;0.37550
49;1.92096;1.93260;0.01163;0.37540
50;1.92094;1.93256;0.01162;0.37520
51;1.92092;1.93253;0.01161;0.37530
52;1.92090;1.93250;0.01160;0.37510
53;1.92088;1.93247;0.01159;0.37540
54;1.92087;1.93244;0.01158;0.37520
55;1.92085;1.93242;0.01157;0.37510
56;1.92083;1.93239;0.01156;0.37540
57;1.92082;1.93236;0.01155;0.37570
58;1.92080;1.93234;0.01154;0.37590
59;1.92079;1.93232;0.01153;0.37590
60;1.92078;1.93230;0.01152;0.37580
61;1.92077;1.93228;0.01151;0.37600
62;1.92076;1.93226;0.01150;0.37610
63;1.92075;1.93224;0.01149;0.37580
64;1.92074;1.93222;0.01148;0.37580
65;1.92073;1.93220;0.01147;0.37580
66;1.92072;1.93218;0.01147;0.37580
67;1.92071;1.93217;0.01146;0.37580
68;1.92070;1.93215;0.01145;0.37590
69;1.92069;1.93214;0.01144;0.37600
70;1.92069;1.93212;0.01143;0.37600
71;1.92068;1.93211;0.01143;0.37650
72;1.92067;1.93209;0.01142;0.37630
73;1.92067;1.93208;0.01141;0.37610
74;1.92066;1.93207;0.01141;0.37600
75;1.92066;1.93206;0.01140;0.37620
76;1.92065;1.93204;0.01139;0.37630
77;1.92065;1.93203;0.01139;0.37630
78;1.92064;1.93202;0.01138;0.37620
79;1.92064;1.93201;0.01137;0.37640
80;1.92063;1.93200;0.01137;0.37650
81;1.92063;1.93199;0.01136;0.37650
82;1.92063;1.93198;0.01136;0.37640
83;1.92062;1.93197;0.01135;0.37640
84;1.92062;1.93197;0.01135;0.37640
85;1.92062;1.93196;0.01134;0.37640
86;1.92061;1.93195;0.01134;0.37640
87;1.92061;1.93194;0.01133;0.37630
88;1.92061;1.93193;0.01133;0.37630
89;1.92060;1.93193;0.01132;0.37630
90;1.92060;1.93192;0.01132;0.37630
91;1.92060;1.93191;0.01131;0.37640
92;1.92060;1.93190;0.01131;0.37630
93;1.92060;1.93190;0.01130;0.37630
94;1.92059;1.93189;0.01130;0.37620
95;1.92059;1.93189;0.01129;0.37620
96;1.92059;1.93188;0.01129;0.37610
97;1.92059;1.93187;0.01129;0.37610
98;1.92059;1.93187;0.01128;0.37620
99;1.92059;1.93186;0.01128;0.37620
100;1.92058;1.93186;0.01128;0.37620
101;1.92058;1.93185;0.01127;0.37620
102;1.92058;1.93185;0.01127;0.37620
103;1.92058;1.93184;0.01126;0.37630
104;1.92058;1.93184;0.01126;0.37640
105;1.92058;1.93184;0.01126;0.37640
106;1.92058;1.93183;0.01125;0.37640
107;1.92058;1.93183;0.01125;0.37640
108;1.92057;1.93182;0.01125;0.37650
109;1.92057;1.93182;0.01125;0.37650
110;1.92057;1.93182;0.01124;0.37640
111;1.92057;1.93181;0.01124;0.37640
112;1.92057;1.93181;0.01124;0.37630
113;1.92057;1.93180;0.01123;0.37610
114;1.92057;1.93180;0.01123;0.37610
115;1.92057;1.93180;0.01123;0.37610
116;1.92057;1.93179;0.01123;0.37600
117;1.92057;1.93179;0.01122;0.37600
118;1.92057;1.93179;0.01122;0.37590
119;1.92057;1.93179;0.01122;0.37590
120;1.92057;1.93178;0.01122;0.37590
121;1.92057;1.93178;0.01121;0.37590
122;1.92057;1.93178;0.01121;0.37590
123;1.92056;1.93177;0.01121;0.37590
124;1.92056;1.93177;0.01121;0.37560
125;1.92056;1.93177;0.01121;0.37560
126;1.92056;1.93177;0.01120;0.37560
127;1.92056;1.93176;0.01120;0.37560
128;1.92056;1.93176;0.01120;0.37570
129;1.92056;1.93176;0.01120;0.37580
130;1.92056;1.93176;0.01120;0.37590
131;1.92056;1.93176;0.01119;0.37590
132;1.92056;1.93175;0.01119;0.37590
133;1.92056;1.93175;0.01119;0.37590
134;1.92056;1.93175;0.01119;0.37590
135;1.92056;1.93175;0.01119;0.37590
136;1.92056;1.93175;0.01119;0.37590
137;1.92056;1.93174;0.01118;0.37590
138;1.92056;1.93174;0.01118;0.37590
139;1.92056;1.93174;0.01118;0.37590
140;1.92056;1.93174;0.01118;0.37580
141;1.92056;1.93174;0.01118;0.37580
142;1.92056;1.93174;0.01118;0.37580
143;1.92056;1.93174;0.01118;0.37570
144;1.92056;1.93173;0.01117;0.37570
145;1.92056;1.93173;0.01117;0.37570
146;1.92056;1.93173;0.01117;0.37570
147;1.92056;1.93173;0.01117;0.37570
148;1.92056;1.93173;0.01117;0.37570
149;1.92056;1.93173;0.01117;0.37570
150;1.92056;1.93173;0.01117;0.37570
151;1.92056;1.93172;0.01117;0.37570
152;1.92056;1.93172;0.01117;0.37570
153;1.92056;1.93172;0.01116;0.37570
154;1.92056;1.93172;0.01116;0.37570
155;1.92056;1.93172;0.01116;0.37570
156;1.92056;1.93172;0.01116;0.37580
157;1.92056;1.93172;0.01116;0.37580
158;1.92056;1.93172;0.01116;0.37580
159;1.92056;1.93172;0.01116;0.37580
160;1.92056;1.93171;0.01116;0.37580
161;1.92056;1.93171;0.01116;0.37580
162;1.92056;1.93171;0.01116;0.37580
163;1.92056;1.93171;0.01115;0.37580
164;1.92056;1.93171;0.01115;0.37580
165;1.92056;1.93171;0.01115;0.37580
166;1.92056;1.93171;0.01115;0.37580
167;1.92056;1.93171;0.01115;0.37580
168;1.92056;1.93171;0.01115;0.37580
169;1.92056;1.93171;0.01115;0.37580
170;1.92056;1.93171;0.01115;0.37580
171;1.92056;1.93171;0.01115;0.37580
172;1.92056;1.93170;0.01115;0.37580
173;1.92056;1.93170;0.01115;0.37580
174;1.92056;1.93170;0.01115;0.37580
175;1.92056;1.93170;0.01115;0.37580
176;1.92056;1.93170;0.01115;0.37580
177;1.92056;1.93170;0.01115;0.37580
178;1.92056;1.93170;0.01114;0.37580
179;1.92056;1.93170;0.01114;0.37580
180;1.92056;1.93170;0.01114;0.37580
181;1.92056;1.93170;0.01114;0.37580
182;1.92056;1.93170;0.01114;0.37580
183;1.92056;1.93170;0.01114;0.37580
184;1.92056;1.93170;0.01114;0.37580
185;1.92056;1.93170;0.01114;0.37580
186;1.92056;1.93170;0.01114;0.37580
187;1.92056;1.93170;0.01114;0.37580
188;1.92056;1.93170;0.01114;0.37580
189;1.92056;1.93170;0.01114;0.37580
190;1.92056;1.93169;0.01114;0.37580
191;1.92056;1.93169;0.01114;0.37580
192;1.92056;1.93169;0.01114;0.37580
193;1.92056;1.93169;0.01114;0.37570
194;1.92056;1.93169;0.01114;0.37570
195;1.92056;1.93169;0.01114;0.37570
196;1.92056;1.93169;0.01114;0.37570
197;1.92056;1.93169;0.01114;0.37570
198;1.92056;1.93169;0.01114;0.37570
199;1.92056;1.93169;0.01114;0.37570
200;1.92056;1.93169;0.01113;0.37570
201;1.92056;1.93169;0.01113;0.37570
202;1.92056;1.93169;0.01113;0.37580
203;1.92056;1.93169;0.01113;0.37580
204;1.92056;1.93169;0.01113;0.37580
205;1.92056;1.93169;0.01113;0.37580
206;1.92056;1.93169;0.01113;0.37580
207;1.92056;1.93169;0.01113;0.37580
208;1.92056;1.93169;0.01113;0.37580
209;1.92056;1.93169;0.01113;0.37580
210;1.92056;1.93169;0.01113;0.37580
