l_min=0.00001;l_max=0.10000;cycles=2;n_s=900
lambda;accuracy_validation;accuracy_test
0.00001;0.51780;0.50730
0.00501;0.51440;0.51400
0.01001;0.50300;0.50930
0.01501;0.49480;0.50140
0.02001;0.48680;0.49200
0.02501;0.47480;0.48290
0.03001;0.46620;0.47750
0.03501;0.46120;0.46780
0.04001;0.45360;0.45890
0.04501;0.44320;0.45080
0.05001;0.43620;0.44480
0.05500;0.42900;0.43660
0.06000;0.42280;0.43160
0.06500;0.41740;0.42430
0.07000;0.41120;0.41600
0.07500;0.40660;0.41070
0.08000;0.40020;0.40520
0.08500;0.39460;0.40110
0.09000;0.39040;0.39790
0.09500;0.38520;0.39580
