l_min=-5.00000;l_max=-2.00000;cycles=5;n_s=900
lambda;accuracy_validation;accuracy_test
0.00003;0.52280;0.50310
0.00056;0.52860;0.50910
0.00021;0.51340;0.51040
0.00064;0.52560;0.51360
0.00027;0.52280;0.50840
0.00002;0.51960;0.50410
0.00470;0.52820;0.51720
0.00039;0.52100;0.50890
0.00205;0.52420;0.51780
0.00032;0.52140;0.50590
0.00582;0.53140;0.51980
0.00002;0.51980;0.50720
0.00004;0.51700;0.50480
0.00057;0.52060;0.50710
0.00006;0.51820;0.50380
0.00091;0.51760;0.51390
0.00437;0.52700;0.52010
0.00211;0.53420;0.51870
0.00054;0.51920;0.50850
0.00012;0.51780;0.50430
