cycle;count;loss_training;loss_validation;cost_training;cost_validation;accuracy_training;accuracy_validation;accuracy_test
1;1;2.52063;2.64143;3.31168;3.28300;0.08610;0.09300;0.08920
1;160;2.10787;2.99017;2.32586;2.42358;0.38930;0.35030;0.36170
1;320;1.48845;3.50599;2.07046;2.24516;0.44960;0.38310;0.39200
1;480;1.33951;3.24617;1.91809;2.15180;0.47100;0.39490;0.40140
1;640;1.60621;3.53998;1.75873;2.02501;0.50350;0.40570;0.41320
1;800;0.35910;2.22267;1.72516;2.03672;0.49980;0.39750;0.39990
1;960;1.55933;2.49468;1.60267;1.93548;0.53270;0.41490;0.42730
1;1120;1.02891;3.42967;1.52499;1.90901;0.56750;0.42340;0.42610
1;1280;1.00203;3.25402;1.45226;1.87120;0.59260;0.44010;0.44790
1;1440;1.02674;3.05881;1.39167;1.84698;0.62910;0.45430;0.45720
1;1600;1.03772;2.73616;1.35856;1.83185;0.64550;0.46050;0.46380
2;1760;0.94082;2.37421;1.37138;1.85526;0.63580;0.45120;0.45960
2;1920;0.97048;3.33008;1.40722;1.90127;0.62270;0.43890;0.44290
2;2080;0.76201;3.58389;1.53417;2.03295;0.57060;0.41620;0.41720
2;2240;1.34390;3.82152;1.52118;1.99234;0.57250;0.41690;0.42320
2;2400;0.42188;2.09622;1.57468;2.03346;0.55840;0.40960;0.40640
2;2560;1.54009;3.09232;1.50976;1.97003;0.58430;0.42760;0.43550
2;2720;1.26103;3.71971;1.46361;1.96807;0.60760;0.43080;0.43160
2;2880;0.89103;3.57667;1.38505;1.92093;0.64050;0.44450;0.45150
2;3040;1.13954;3.22894;1.33264;1.90010;0.67500;0.45420;0.46230
2;3200;1.11749;3.21049;1.29597;1.88159;0.69570;0.45820;0.46660
3;3360;1.11162;2.91055;1.31293;1.90501;0.69060;0.45490;0.46140
3;3520;1.10844;3.76838;1.36872;1.96410;0.65550;0.44070;0.44290
3;3680;0.82659;3.95544;1.48912;2.08142;0.60610;0.42390;0.42730
3;3840;1.11148;3.87936;1.48189;2.03685;0.60200;0.42260;0.43350
3;4000;0.46442;2.53109;1.54518;2.05144;0.58380;0.41980;0.41730
3;4160;1.50035;3.39639;1.48843;2.00392;0.60640;0.43050;0.43590
3;4320;1.34649;3.98156;1.44579;2.00238;0.62280;0.43250;0.43310
3;4480;0.91975;3.75183;1.36926;1.95432;0.66180;0.44850;0.45060
3;4640;1.19513;3.46164;1.31540;1.92979;0.69430;0.45380;0.46680
3;4800;1.17021;3.42287;1.27815;1.90876;0.71680;0.46160;0.46880
