epoch;training_loss;validation_loss;difference;accuracy
1;2.32803;2.62231;0.29428;0.10130
2;2.17042;2.55070;0.38028;0.10720
3;2.04521;2.49838;0.45317;0.11540
4;1.93691;2.45875;0.52184;0.12330
5;1.84310;2.42467;0.58157;0.13110
6;1.76052;2.39969;0.63917;0.13480
7;1.68820;2.38528;0.69708;0.14010
8;1.62312;2.36854;0.74542;0.14370
9;1.56505;2.35767;0.79262;0.14690
10;1.51120;2.34900;0.83779;0.14970
11;1.46203;2.34022;0.87819;0.15150
12;1.41566;2.33466;0.91900;0.15490
13;1.37173;2.33132;0.95959;0.15710
14;1.32949;2.32911;0.99962;0.15870
15;1.28957;2.32714;1.03757;0.16130
16;1.25232;2.32539;1.07308;0.16310
17;1.21696;2.32226;1.10530;0.16620
18;1.18423;2.32163;1.13740;0.16760
19;1.15279;2.32161;1.16882;0.16990
20;1.12286;2.32112;1.19827;0.17120
21;1.09433;2.31992;1.22559;0.17290
22;1.06680;2.32116;1.25436;0.17490
23;1.04097;2.32222;1.28126;0.17580
24;1.01585;2.32282;1.30696;0.17650
25;0.99175;2.32444;1.33269;0.17690
26;0.96843;2.32517;1.35674;0.17710
27;0.94563;2.32579;1.38016;0.17820
28;0.92381;2.32697;1.40316;0.17860
29;0.90279;2.32907;1.42628;0.17930
30;0.88265;2.32852;1.44587;0.17910
31;0.86274;2.33058;1.46784;0.18000
32;0.84350;2.33357;1.49007;0.18050
33;0.82501;2.33282;1.50781;0.18170
34;0.80710;2.33436;1.52727;0.18290
35;0.78977;2.33696;1.54719;0.18380
36;0.77291;2.33869;1.56578;0.18490
37;0.75673;2.34071;1.58398;0.18590
38;0.74115;2.34303;1.60188;0.18670
39;0.72586;2.34369;1.61783;0.18670
40;0.71093;2.34582;1.63488;0.18770
41;0.69642;2.34684;1.65042;0.18850
42;0.68211;2.34688;1.66477;0.18820
43;0.66851;2.34933;1.68082;0.18880
44;0.65520;2.35232;1.69712;0.18880
45;0.64249;2.35249;1.71000;0.18890
46;0.63019;2.35467;1.72448;0.19030
47;0.61831;2.35618;1.73787;0.19040
48;0.60684;2.35845;1.75161;0.19200
49;0.59538;2.35893;1.76356;0.19090
50;0.58463;2.36267;1.77804;0.19110
51;0.57371;2.36420;1.79049;0.19170
52;0.56346;2.36688;1.80342;0.19160
53;0.55351;2.36925;1.81574;0.19260
54;0.54356;2.37065;1.82709;0.19240
55;0.53387;2.37202;1.83815;0.19260
56;0.52460;2.37436;1.84976;0.19280
57;0.51557;2.37669;1.86112;0.19270
58;0.50647;2.37771;1.87124;0.19260
59;0.49792;2.38033;1.88242;0.19410
60;0.48965;2.38032;1.89066;0.19510
61;0.48140;2.38287;1.90147;0.19470
62;0.47337;2.38614;1.91277;0.19510
63;0.46559;2.38447;1.91888;0.19450
64;0.45783;2.38774;1.92991;0.19430
65;0.45056;2.38972;1.93916;0.19460
66;0.44322;2.39102;1.94780;0.19440
67;0.43601;2.39246;1.95645;0.19430
68;0.42920;2.39332;1.96413;0.19400
69;0.42238;2.39537;1.97299;0.19430
70;0.41559;2.39694;1.98135;0.19430
