cycle;count;loss_training;loss_validation;cost_training;cost_validation;accuracy_training;accuracy_validation;accuracy_test
1;1;3.09223;3.03425;3.05350;3.03136;0.10080;0.11000;0.10420
1;450;2.27705;2.34379;2.24858;2.25700;0.39163;0.38200;0.39330
1;900;2.04165;2.01114;2.00198;2.02770;0.44012;0.43100;0.43130
1;1350;1.89011;1.88857;1.80859;1.84334;0.46947;0.45100;0.45230
1;1800;1.58698;1.85048;1.69710;1.75320;0.48676;0.47800;0.47370
1;2250;1.66278;1.75709;1.68234;1.71631;0.46576;0.45700;0.44240
1;2700;1.61803;1.70005;1.61344;1.66178;0.50145;0.49700;0.47740
1;3150;1.57820;1.63099;1.55212;1.61026;0.51669;0.49400;0.48590
1;3600;1.56598;1.54627;1.49084;1.55756;0.54261;0.49600;0.50710
1;4050;1.51403;1.56322;1.46440;1.53360;0.54902;0.52000;0.51520
1;4500;1.48510;1.56040;1.43255;1.51023;0.56343;0.52300;0.52210
2;4950;1.50608;1.59166;1.44705;1.53530;0.55743;0.51300;0.51620
2;5400;1.51113;1.57390;1.46745;1.56477;0.55037;0.52100;0.51060
2;5850;1.63049;1.69228;1.57100;1.62588;0.51057;0.49700;0.47120
2;6300;1.52247;1.68104;1.55516;1.63426;0.51841;0.48100;0.48430
2;6750;1.63503;1.63369;1.56263;1.62358;0.51884;0.49500;0.48660
2;7200;1.55637;1.55891;1.53896;1.60609;0.52914;0.50900;0.49760
2;7650;1.57683;1.68726;1.49238;1.57568;0.54731;0.50900;0.51050
2;8100;1.46300;1.57995;1.45281;1.52135;0.55933;0.54300;0.51970
2;8550;1.47755;1.53540;1.41807;1.51176;0.57296;0.54200;0.52820
2;9000;1.42086;1.56442;1.39223;1.48689;0.58580;0.54100;0.53050
