cycle;count;loss_training;loss_validation;cost_training;cost_validation;accuracy_training;accuracy_validation;accuracy_test
1;1;2.30476;2.30398;2.30361;2.30360;0.09400;0.10300;0.09940
1;450;1.87454;1.73135;1.74334;1.74490;0.38373;0.39300;0.38070
1;900;1.69124;1.61411;1.57152;1.58241;0.45951;0.44600;0.44460
1;1350;1.69096;1.58898;1.51677;1.53224;0.49010;0.49100;0.47050
1;1800;1.39752;1.62274;1.52783;1.54912;0.49988;0.48400;0.47790
1;2250;1.63046;1.70394;1.56474;1.59899;0.49284;0.49200;0.46850
1;2700;1.59737;1.64546;1.50852;1.55086;0.52043;0.49400;0.48520
1;3150;1.58184;1.61995;1.45260;1.51537;0.54169;0.51900;0.50190
1;3600;1.55286;1.57991;1.39655;1.47207;0.55800;0.51800;0.50790
1;4050;1.43199;1.54019;1.34323;1.42298;0.57673;0.55200;0.52130
1;4500;1.36257;1.50662;1.28128;1.39174;0.59965;0.53900;0.53460
2;4950;1.39746;1.56527;1.30987;1.42495;0.58818;0.53400;0.51930
2;5400;1.47853;1.62215;1.37901;1.48748;0.56371;0.53200;0.50540
2;5850;1.57529;1.68903;1.45500;1.54126;0.54108;0.50900;0.48900
2;6300;1.54003;1.71909;1.49110;1.57670;0.52516;0.48100;0.48280
2;6750;1.59638;1.63099;1.50974;1.57955;0.52655;0.49400;0.49030
2;7200;1.55732;1.68406;1.47237;1.55588;0.54259;0.50700;0.49890
2;7650;1.58276;1.65785;1.43204;1.53097;0.55106;0.51700;0.50790
2;8100;1.42565;1.62386;1.36719;1.47968;0.57490;0.52300;0.52050
2;8550;1.42990;1.56907;1.31792;1.44641;0.59420;0.53200;0.52510
2;9000;1.28272;1.51835;1.24503;1.40004;0.61827;0.54900;0.53880
