cycle;count;loss_training;loss_validation;cost_training;cost_validation;accuracy_training;accuracy_validation;accuracy_test
1;1;10.40351;10.32870;10.28619;10.28833;0.09394;0.10400;0.09940
1;450;9.31576;9.16496;9.16904;9.14770;0.28965;0.30600;0.29660
1;900;7.42171;7.24384;7.23459;7.22773;0.37141;0.38300;0.37360
1;1350;5.30943;5.15119;5.12138;5.11535;0.42910;0.42900;0.42440
1;1800;3.44473;3.52158;3.42646;3.43228;0.46222;0.46300;0.45040
1;2250;2.43377;2.48263;2.38770;2.43396;0.47635;0.46100;0.45680
1;2700;2.01396;1.97906;1.89381;1.94654;0.50284;0.48200;0.47640
1;3150;1.77341;1.84533;1.67677;1.74596;0.52155;0.49500;0.48670
1;3600;1.67438;1.76099;1.54445;1.63202;0.54094;0.51600;0.49830
1;4050;1.60441;1.70828;1.46078;1.57762;0.55737;0.52300;0.51470
1;4500;1.50552;1.67431;1.39757;1.52604;0.58082;0.52600;0.52710
2;4950;1.49782;1.66866;1.41204;1.54170;0.57171;0.49400;0.51490
2;5400;1.59638;1.68801;1.45209;1.57267;0.55014;0.51300;0.50360
2;5850;1.57419;1.68852;1.50850;1.58520;0.53059;0.48800;0.49110
2;6300;1.53672;1.76341;1.52218;1.60651;0.52276;0.48300;0.48400
2;6750;1.65654;1.61993;1.54176;1.62000;0.51692;0.48500;0.48590
2;7200;1.57176;1.65834;1.48901;1.56058;0.53524;0.50700;0.49310
2;7650;1.53466;1.66817;1.42969;1.52045;0.55331;0.50800;0.51070
2;8100;1.42048;1.56972;1.37536;1.48605;0.56894;0.51800;0.51930
2;8550;1.40015;1.58102;1.32267;1.45870;0.58890;0.52100;0.52720
2;9000;1.33158;1.56546;1.25318;1.41543;0.61469;0.53700;0.53490
