cycle;count;loss_training;loss_validation;cost_training;cost_validation;accuracy_training;accuracy_validation;accuracy_test
1;1;60.80580;60.69948;60.63729;60.64107;0.09396;0.10400;0.09940
1;450;2.25970;2.17238;2.17918;2.18042;0.31733;0.31900;0.31090
1;900;2.25142;2.21648;2.19718;2.20361;0.25806;0.26300;0.25600
1;1350;2.27699;2.23765;2.23003;2.23614;0.22369;0.21000;0.22260
1;1800;2.32373;2.24148;2.22950;2.22844;0.21312;0.21300;0.20750
1;2250;2.31055;2.24911;2.27482;2.26779;0.19243;0.18900;0.19280
1;2700;2.30889;2.23865;2.23954;2.24368;0.21208;0.20200;0.20640
1;3150;2.32637;2.23847;2.24910;2.25663;0.20820;0.21000;0.20790
1;3600;2.24976;2.17453;2.15664;2.17384;0.25012;0.22200;0.25270
1;4050;2.24203;2.14281;2.12252;2.12952;0.31088;0.30200;0.31400
1;4500;2.09818;1.99028;1.96822;1.96785;0.39896;0.40900;0.39810
2;4950;2.23451;2.15923;2.17067;2.16903;0.30253;0.30600;0.29730
2;5400;2.28058;2.17877;2.15687;2.16302;0.30249;0.31300;0.30530
2;5850;2.27909;2.23463;2.23599;2.24537;0.24839;0.24600;0.24380
2;6300;2.40004;2.38045;2.31183;2.35307;0.20682;0.18100;0.21200
2;6750;2.36146;2.28246;2.25006;2.25652;0.20824;0.20700;0.20530
2;7200;2.26040;2.20119;2.19666;2.19080;0.24400;0.26100;0.23750
2;7650;2.24351;2.19391;2.18013;2.20801;0.24643;0.21400;0.24580
2;8100;2.23279;2.16592;2.13099;2.14129;0.28906;0.29200;0.28990
2;8550;2.15955;2.03589;2.06963;2.06758;0.33680;0.34300;0.33640
2;9000;2.05647;1.93305;1.91082;1.90626;0.41649;0.42900;0.41410
3;9450;2.17657;2.03360;2.06927;2.05635;0.34390;0.37100;0.35090
3;9900;2.21406;2.11455;2.11567;2.11699;0.32310;0.33300;0.32020
3;10350;2.23695;2.16254;2.16920;2.17708;0.27588;0.25500;0.27300
3;10800;2.37342;2.28166;2.30862;2.33376;0.21902;0.20400;0.21950
3;11250;2.46775;2.44321;2.40249;2.41075;0.20604;0.18800;0.21080
3;11700;2.38241;2.31459;2.22687;2.26998;0.22769;0.20600;0.23050
3;12150;2.33155;2.15980;2.19867;2.20126;0.25133;0.24100;0.25400
3;12600;2.24706;2.14434;2.15389;2.13866;0.28237;0.31400;0.27770
3;13050;2.17181;2.06968;2.06140;2.07123;0.32500;0.33800;0.32550
3;13500;2.00603;1.87550;1.87982;1.88521;0.42598;0.42800;0.42630
