step;smooth_loss;loss
1; 109.538428;109.538428
101; 109.609824;92.456911
201; 107.023663;81.336083
301; 104.061846;74.140760
401; 100.997387;79.221836
501; 98.299064;69.182339
601; 95.687111;82.414671
701; 93.086025;70.490673
801; 90.371864;69.148155
901; 87.954258;58.085278
1001; 85.660774;66.332383
1101; 83.500260;62.004350
1201; 81.593420;62.948412
1301; 79.716331;60.290793
1401; 78.256345;65.661200
1501; 76.668788;58.850245
1601; 75.492671;60.407370
1701; 74.345932;66.477103
1801; 73.181032;53.284808
1901; 72.150959;55.622433
2001; 71.126692;52.639736
2101; 70.142590;55.028037
2201; 69.211374;58.384621
2301; 68.449741;57.659038
2401; 67.769708;47.723883
2501; 66.969321;47.477071
2601; 66.507751;74.870195
2701; 65.934560;64.667284
2801; 65.266257;67.241360
2901; 64.592958;55.005451
3001; 63.989925;58.926698
3101; 63.631532;51.977719
3201; 63.262991;70.520000
3301; 62.995713;61.732455
3401; 62.647147;60.687041
3501; 62.265500;65.880928
3601; 61.818680;67.624767
3701; 61.595022;54.529118
3801; 61.526206;55.856335
3901; 61.228536;45.010215
4001; 60.962209;52.605785
4101; 60.832156;96.573246
4201; 60.598240;69.526501
4301; 60.411297;67.984887
4401; 60.286613;62.474269
4501; 60.212757;51.753105
4601; 59.987937;45.941741
4701; 59.912142;51.593912
4801; 59.688287;60.501552
4901; 59.586885;54.180796
5001; 59.472071;52.455182
5101; 59.286844;59.738594
5201; 59.274354;62.469950
5301; 59.350012;52.052450
5401; 59.379749;61.881379
5501; 59.325607;57.729252
5601; 59.190647;52.064674
5701; 59.115059;56.851900
5801; 59.081541;54.375470
5901; 59.058807;55.756667
6001; 58.903919;52.613906
6101; 58.961896;47.635882
6201; 58.953826;54.224904
6301; 58.837053;57.396455
6401; 59.263919;71.484770
6501; 59.291569;53.974911
6601; 59.415722;68.690114
6701; 59.287243;44.984088
6801; 59.191142;52.584008
6901; 59.186223;56.275926
7001; 58.996427;59.592357
7101; 58.790799;51.933784
7201; 58.429007;48.154134
7301; 58.038902;63.447324
7401; 57.941883;66.633956
7501; 57.827983;55.749422
7601; 57.740420;51.965693
7701; 57.437967;59.780933
7801; 57.156260;59.356640
7901; 56.913815;62.367483
8001; 56.860821;58.392094
8101; 56.799892;48.218678
8201; 56.721491;56.502565
8301; 56.576901;52.062977
8401; 56.349444;50.526423
8501; 56.075310;59.336455
8601; 56.126999;68.673437
8701; 56.132148;45.612989
8801; 56.454779;51.529086
8901; 56.476533;64.214864
9001; 56.423933;58.185810
9101; 56.525310;50.995929
9201; 56.592107;56.023086
9301; 56.505682;79.523625
