step;smooth_loss;loss
1; 109.556970;109.556970
101; 109.042324;91.574820
201; 106.466209;76.947286
301; 103.545106;67.889917
401; 100.514336;75.155815
501; 97.936604;62.665416
601; 95.383125;89.236863
701; 92.805184;73.593188
801; 90.060131;67.204395
901; 87.643476;60.226792
1001; 85.307929;59.432186
1101; 83.109605;57.682804
1201; 81.158395;63.202520
1301; 79.250345;58.368204
1401; 77.839853;69.673642
1501; 76.219660;57.884951
1601; 75.028375;60.716188
1701; 73.868041;68.397272
1801; 72.641682;50.293953
1901; 71.566914;58.890995
2001; 70.483667;54.102163
2101; 69.393754;55.270340
2201; 68.421382;57.557557
2301; 67.659220;53.398080
2401; 66.966223;50.144697
2501; 66.139760;44.861742
2601; 65.665974;67.069626
2701; 65.013481;59.447637
2801; 64.304809;66.616320
2901; 63.593738;53.683943
3001; 62.908351;59.244494
3101; 62.550896;55.405522
3201; 62.117072;66.456133
3301; 61.837466;60.905851
3401; 61.437721;56.619898
3501; 60.972608;65.636360
3601; 60.465127;62.567655
3701; 60.225622;54.393071
3801; 60.149388;50.734588
3901; 59.855567;45.478622
4001; 59.519609;48.269166
4101; 59.369180;88.284891
4201; 59.158940;64.970759
4301; 58.969833;67.438876
4401; 58.823455;60.487107
4501; 58.714398;48.032684
4601; 58.358192;36.852900
4701; 58.272246;55.066983
4801; 57.980358;59.834393
4901; 57.831792;47.086003
5001; 57.686483;48.856459
5101; 57.482044;60.627383
5201; 57.452303;62.880436
5301; 57.513331;55.822454
5401; 57.592699;57.796369
5501; 57.473524;56.058735
5601; 57.345145;48.302642
5701; 57.239674;53.264182
5801; 57.227832;53.275757
5901; 57.119512;50.038249
6001; 56.966400;48.641673
6101; 57.022430;47.642789
6201; 57.017639;55.425992
6301; 56.879048;55.022998
6401; 57.266700;64.331847
6501; 57.327626;50.342699
6601; 57.344710;65.449396
6701; 57.208475;45.636614
6801; 57.071299;51.194377
6901; 56.985686;54.217747
7001; 56.767821;57.412394
7101; 56.552727;49.540440
7201; 56.166680;45.917294
7301; 55.733182;64.520269
7401; 55.604940;60.468457
7501; 55.430904;53.561190
7601; 55.343345;48.677816
7701; 55.030761;59.153392
7801; 54.732623;55.630429
7901; 54.439746;60.371872
8001; 54.413498;53.015001
8101; 54.302295;44.018791
8201; 54.214420;49.724762
8301; 54.015157;47.173479
8401; 53.774094;48.673862
8501; 53.476926;57.404180
8601; 53.499395;63.704507
8701; 53.506724;39.686701
8801; 53.812223;53.983502
