step;smooth_loss;loss
1; 116.350967;116.350967
101; 117.191205;90.619763
201; 113.886755;82.721847
301; 110.508271;73.035098
401; 107.420898;74.925149
501; 104.055466;66.411027
601; 100.935851;63.121862
701; 98.228002;68.625187
801; 95.385227;70.947413
901; 92.623478;73.318676
1001; 90.157885;64.064556
1101; 87.721257;72.410805
1201; 85.190418;56.563384
1301; 83.192391;68.964034
1401; 81.282646;56.891681
1501; 79.433633;53.884263
1601; 77.725946;71.400258
1701; 76.346241;54.144826
1801; 74.849133;68.789539
1901; 73.517821;62.287304
2001; 72.238945;50.454532
2101; 71.059911;55.832125
2201; 70.049100;54.951082
2301; 68.915419;51.422656
2401; 67.954340;50.596507
2501; 67.047303;54.556549
2601; 66.265720;60.937957
2701; 65.410264;54.653831
2801; 64.794262;68.777559
2901; 64.161027;56.752218
3001; 63.777468;55.824779
3101; 63.796958;61.670207
3201; 63.440614;57.505249
3301; 63.112567;54.746603
3401; 62.681070;62.210109
3501; 62.562232;59.938047
3601; 62.198929;64.528819
3701; 61.756192;59.528102
3801; 61.371569;60.159166
3901; 61.917663;53.258473
4001; 61.315313;57.734631
4101; 61.178715;54.095743
4201; 60.864922;60.235658
4301; 60.446021;59.964962
4401; 60.089534;61.986895
4501; 59.795784;74.629085
4601; 59.254723;61.111658
4701; 59.306850;47.567928
4801; 59.230889;59.091445
4901; 58.942607;51.191032
5001; 58.693083;45.142395
5101; 58.668644;63.029485
5201; 58.395036;57.973819
5301; 58.038696;55.600017
5401; 57.710611;52.481500
5501; 57.348496;50.136471
5601; 56.991365;50.682576
5701; 56.599544;62.402824
5801; 56.466044;45.824092
5901; 56.228254;56.998159
6001; 56.524389;51.310835
6101; 56.295255;51.335127
6201; 56.211932;58.328891
6301; 55.978666;48.973631
6401; 55.852811;50.957218
6501; 55.682812;50.478978
6601; 55.719099;54.824997
6701; 55.615785;56.963871
6801; 55.394488;68.829936
6901; 55.604416;61.804874
7001; 55.689092;44.645223
7101; 55.664822;60.046314
7201; 55.687757;48.794617
7301; 55.720769;50.614604
7401; 55.659097;58.771498
7501; 55.473581;56.316821
7601; 55.395254;45.968309
7701; 55.358341;54.778362
7801; 55.253248;63.966804
7901; 55.125830;50.563783
8001; 55.054539;44.588664
8101; 55.070736;48.714535
8201; 54.936249;67.791354
8301; 54.936368;50.380374
8401; 54.953142;48.554643
8501; 54.733193;50.024025
8601; 54.620786;57.332346
8701; 54.473031;49.635753
8801; 54.488363;55.227156
8901; 54.389535;49.686691
9001; 54.233817;49.848053
9101; 54.051030;54.771607
9201; 53.886205;63.260391
9301; 53.820954;44.260425
9401; 53.584450;44.426231
9501; 53.636145;47.982284
9601; 53.572197;48.743404
9701; 53.543145;45.853247
9801; 53.370438;61.230049
9901; 53.398794;70.498296
10001; 53.333045;56.479657
10101; 53.266701;46.973817
10201; 52.936827;42.552223
10301; 52.609036;41.907423
10401; 52.391231;54.740134
10501; 52.596368;46.549840
10601; 52.451217;48.832581
10701; 52.438777;47.010811
10801; 52.784668;55.753860
10901; 52.827138;44.912048
11001; 52.785003;50.256879
11101; 52.556898;40.206085
11201; 52.667251;51.484405
11301; 52.658909;59.171949
11401; 52.568666;54.589594
11501; 52.597607;57.846941
11601; 52.532093;46.539103
11701; 52.383712;69.423393
11801; 52.428347;48.045775
11901; 52.367904;48.800847
12001; 52.257623;65.685908
12101; 52.067807;52.350048
12201; 51.794222;46.030739
12301; 51.436294;40.859778
12401; 51.196931;47.430342
12501; 51.325680;54.026564
12601; 51.341468;58.791924
12701; 51.274146;42.390484
12801; 51.418529;38.149976
12901; 51.263546;31.932557
13001; 51.238697;58.726054
13101; 51.132197;42.901582
13201; 51.386257;47.069612
13301; 51.458642;59.727466
13401; 51.524231;44.409205
13501; 51.456401;51.297457
13601; 51.341811;34.921089
13701; 51.243358;48.873133
13801; 51.213666;52.645071
13901; 51.126408;36.406044
14001; 51.233921;105.426642
14101; 51.211322;55.969417
14201; 51.188936;50.176579
14301; 51.143069;42.200658
14401; 51.114535;50.580017
14501; 50.994868;54.526027
14601; 51.032889;52.289248
14701; 51.065002;47.415943
14801; 51.061144;52.482178
14901; 51.067274;52.061048
15001; 50.994783;53.322248
15101; 50.874095;45.605679
15201; 51.004550;59.996566
15301; 51.118681;53.646564
15401; 50.936618;61.447352
15501; 51.033388;57.965182
15601; 50.823935;54.063735
15701; 50.751994;50.271456
15801; 50.578464;40.873187
15901; 50.430563;57.128799
16001; 50.306846;48.729527
16101; 50.136890;38.126693
16201; 50.234058;55.633711
16301; 50.064896;42.566998
16401; 49.757408;40.663773
16501; 49.580793;50.760712
16601; 49.692925;52.013566
16701; 49.606219;62.220280
16801; 49.597448;49.120416
16901; 49.697929;59.929094
17001; 49.563210;45.913692
17101; 49.700330;38.096025
17201; 49.767426;36.752121
17301; 49.822237;64.481792
17401; 49.725022;35.292374
17501; 49.684151;48.456582
17601; 49.707579;41.118287
17701; 50.004597;37.412568
17801; 50.188189;49.240866
17901; 50.293710;46.544318
18001; 51.263846;50.194237
18101; 52.376359;62.519422
18201; 52.784709;59.804537
18301; 53.291049;38.873044
18401; 53.427937;50.993246
18501; 53.570964;49.607705
18601; 53.814819;61.577343
18701; 54.072862;69.942781
18801; 54.204872;61.908410
18901; 54.283003;53.231078
19001; 54.070254;44.371519
19101; 54.491417;49.753862
19201; 54.348949;72.856987
19301; 54.221510;40.007430
19401; 53.904991;46.023773
19501; 53.805424;70.328822
19601; 53.798913;47.227342
19701; 53.782381;57.723802
19801; 53.839530;50.118524
19901; 53.690230;42.892364
20001; 53.686444;51.559006
20101; 53.665379;90.031401
20201; 53.470707;49.054480
20301; 53.629669;49.402839
20401; 53.932037;52.401176
20501; 53.861502;51.959527
20601; 53.943215;47.229356
20701; 53.684914;69.964860
20801; 53.585038;54.879491
20901; 53.688024;60.580979
21001; 53.672422;62.435677
21101; 53.517324;53.090177
21201; 53.466049;47.952178
21301; 53.813124;45.963529
21401; 53.773350;74.348912
21501; 53.607896;49.582925
21601; 53.574404;57.868385
21701; 53.443342;48.433976
21801; 53.397196;62.503205
21901; 53.193408;62.744633
22001; 53.093165;47.689440
22101; 52.927557;48.664343
22201; 52.766285;40.728939
22301; 52.776326;58.713398
22401; 53.028321;69.185001
22501; 52.939964;47.641288
22601; 52.849466;46.670739
22701; 52.758152;50.185148
22801; 52.660372;75.316183
22901; 52.741473;63.763873
23001; 53.469878;51.702417
23101; 53.477038;68.871237
23201; 53.500980;54.727258
23301; 53.458517;58.414791
23401; 53.475263;40.358863
23501; 53.612953;71.626482
23601; 53.601741;45.073295
23701; 53.637874;47.355870
23801; 53.734200;42.962043
23901; 53.611032;57.696365
24001; 53.396296;44.363363
24101; 53.277370;50.001367
24201; 53.229456;38.733473
24301; 53.096876;48.486084
24401; 53.093190;47.798131
24501; 52.885892;53.116711
24601; 52.869001;51.226419
24701; 52.667914;43.127313
24801; 52.555976;47.160682
24901; 52.700643;84.698756
25001; 52.675990;58.763188
25101; 52.827219;59.911213
25201; 52.904250;56.035509
25301; 53.171657;51.305702
25401; 53.249519;41.689780
25501; 53.040463;54.010346
25601; 53.031499;45.287830
25701; 52.970283;49.582876
25801; 52.942600;41.122550
25901; 52.817889;58.268213
26001; 52.542880;43.973969
26101; 52.645242;60.236982
26201; 52.633570;56.949668
26301; 52.592207;68.584684
26401; 52.651099;53.756794
26501; 52.543118;39.392055
26601; 52.564303;44.719165
26701; 52.721140;58.864819
26801; 52.683827;51.797330
26901; 52.347683;53.912786
27001; 52.052207;46.901224
27101; 52.032335;56.687899
27201; 51.913143;48.750207
27301; 52.017841;45.416338
27401; 51.913558;47.015792
27501; 51.927864;34.788658
27601; 51.894253;50.545541
27701; 51.910065;52.769892
27801; 51.739466;44.778584
27901; 51.753712;41.660986
28001; 51.577844;56.548378
28101; 51.489263;58.238352
28201; 51.360289;59.672112
28301; 51.538988;48.499961
28401; 51.592324;59.732699
28501; 51.781299;63.223930
28601; 51.475064;44.298521
28701; 51.546869;43.251392
28801; 51.745125;47.145961
28901; 51.540327;45.600810
29001; 51.572837;52.788761
29101; 51.542632;49.726838
29201; 51.552227;42.077280
29301; 51.314438;40.949110
29401; 51.124214;48.943825
29501; 51.039171;48.476771
29601; 51.225185;43.804062
29701; 51.224184;48.173750
29801; 51.501862;54.218040
29901; 51.688292;66.602371
30001; 51.662273;54.029622
30101; 51.535201;56.624816
30201; 51.378453;36.360963
30301; 51.264891;50.685914
30401; 51.290860;42.367664
30501; 51.145529;49.960786
30601; 51.036021;48.351947
30701; 51.038682;45.625713
30801; 50.887752;46.370671
30901; 50.701391;41.116491
31001; 51.041042;45.976032
31101; 51.067358;56.875528
31201; 50.973129;43.152132
31301; 50.909935;45.868315
31401; 50.762768;52.418779
31501; 50.789742;66.843071
31601; 50.757021;63.930929
31701; 50.962454;54.399733
31801; 51.125828;62.167766
31901; 51.062479;47.255032
32001; 50.862249;47.564667
32101; 50.921223;44.355378
32201; 50.788142;44.500085
32301; 50.871071;50.583211
32401; 50.788754;50.425197
32501; 50.736092;45.557558
32601; 50.647549;48.350159
32701; 50.797545;55.661778
32801; 50.571551;54.004918
32901; 50.475854;55.964650
33001; 50.568035;75.940504
33101; 50.575319;47.096731
33201; 50.617461;55.750602
33301; 50.760344;47.805021
33401; 50.769153;56.144204
33501; 50.750571;63.064118
33601; 50.684590;51.178425
33701; 50.640967;48.027271
33801; 50.584220;44.283600
33901; 50.321227;57.111988
34001; 50.075378;36.439112
34101; 49.844180;39.851712
34201; 49.762239;39.463905
34301; 49.690692;49.938634
34401; 49.567541;48.238944
34501; 49.651833;42.637118
34601; 49.583581;59.243296
34701; 49.645604;49.801178
34801; 49.575526;46.483813
34901; 49.670887;50.067134
35001; 49.656713;42.822519
35101; 49.618802;55.865759
35201; 49.614974;52.421087
35301; 49.580489;51.847926
35401; 49.511271;47.321546
35501; 49.428871;62.920628
35601; 49.233035;45.304079
35701; 49.187267;59.176358
35801; 49.218475;48.103087
35901; 49.238041;59.719125
36001; 49.314863;46.827552
36101; 49.468235;52.122565
36201; 49.655465;45.246930
36301; 49.845372;57.861748
36401; 49.847738;47.321197
36501; 49.965130;61.308604
36601; 50.207721;48.031027
36701; 50.284222;44.411991
36801; 50.090883;43.731834
36901; 50.082425;59.353042
37001; 49.920641;41.122533
37101; 49.983449;56.104354
37201; 50.331214;62.992575
37301; 50.343375;58.980293
37401; 50.272323;44.303225
37501; 50.381431;43.413325
37601; 50.337894;73.959344
37701; 50.114097;47.206455
37801; 50.057076;54.570309
37901; 50.136067;46.850137
38001; 50.466186;42.999742
38101; 50.919807;58.560214
38201; 51.288860;41.527030
38301; 51.232329;45.259340
38401; 51.541640;64.139499
38501; 51.559629;49.360569
38601; 51.725389;40.715885
38701; 51.453416;44.759384
38801; 51.659067;40.359782
38901; 51.754839;58.605358
39001; 51.633532;33.128225
39101; 51.547473;74.444935
39201; 51.412969;38.478292
39301; 51.377295;59.604369
39401; 51.225931;50.193229
39501; 51.221144;43.369845
39601; 51.232572;40.249281
39701; 51.215701;52.660687
39801; 50.971156;51.044189
39901; 50.843265;57.686035
40001; 50.912728;43.411648
40101; 51.015065;44.111345
40201; 51.471783;65.572234
40301; 51.516404;31.968775
40401; 51.456850;39.747749
40501; 51.351258;44.061856
40601; 51.198697;52.624633
40701; 51.253594;68.921437
40801; 51.500544;46.244349
40901; 52.230650;38.975071
41001; 52.104532;38.990879
41101; 51.868869;41.052899
41201; 51.676971;58.136542
41301; 51.526579;41.419884
41401; 51.176616;49.393050
